SRR ID	A_read_depth	A_strains	B_read_depth	B_strains	C_read_depth	C_strains
ERR321374	3.57733	0	3.05756	0	2.53592	0
ERR479127	3.57883	0	1.95203	0	4.2042	0
ERR1137771	3.58108	0	2.62288	0	3.02663	0
ERR1224352	3.58333	0	4.0952	0	4.93301	0
ERR321183	3.58408	0	3.9107	0	1.93624	0
ERR210361	3.59084	0	2.23838	0	5.05488	0
SRR1490804	3.6006	0	3.11587	0	2.08475	0
DRR042411	3.60135	0	4.68266	0	3.81759	0
ERR321336	3.60285	0	2.65978	0	4.03713	0
SRR3993061	3.6036	0	1.59852	0	1.89427	0
SRR1765368	3.60435	0	2.69446	0	2.04197	0
ERR1293788	3.60511	0	1.65904	2	1.88055	0
ERR1297839	3.60736	0	4.23469	0	3.16142	0
ERR318693	3.61186	0	2.81993	0	4.12429	0
SRR1491734	3.61562	0	1.97786	2	1.9088	0
ERR1137242	3.61787	0	3.71808	0	3.10573	0
ERR1136719	3.61862	0	5.0583	0	6.53188	0
ERR260151	3.61862	0	2.04428	0	4.57143	0
ERR321536	3.62763	0	5.65683	0	5.77885	0
ERR748112	3.63514	0	1.85683	0	9.36885	0
ERR719449	3.64189	0	2.81476	0	4.63842	0
ERR321266	3.64189	0	3.89299	0	5.12833	0
ERR321233	3.64715	0	2.00517	0	3.6933	0
SRR1438029	3.6494	0	1.48708	0	1.79338	0
SRR060448	3.65916	0	2.49815	0	3.65456	0
ERR719448	3.66817	0	3.27823	0	5.17191	0
ERR209226	3.66967	0	2.12177	0	3.636	0
SRR3100152	3.67117	0	4.04354	0	3.205	0
SRR1462706	3.67192	0	2.47749	0	1.55125	0
DRR042362	3.67492	0	0.859041	0	1.74657	0
ERR321335	3.67568	0	2.46347	0	3.40032	0
ERR719441	3.67643	0	2.33875	0	3.90638	0
ERR321527	3.67793	0	2.28635	0	3.12429	0
ERR321638	3.68093	0	2.16827	0	2.88862	0
ERR1224353	3.68168	0	2.85535	0	5.40678	0
ERR719650	3.68619	0	1.21255	0	2.94996	0
SRR528350	3.68694	0	3.11587	0	3.92897	0
ERR209856	3.68844	0	3.1107	0	4.52865	0
SRR1437988	3.68994	0	3.33875	0	1.80226	0
ERR719230	3.69745	0	4.70996	0	6.89992	0
ERR1293127	3.69745	0	2.06273	0	5.30589	0
ERR480765	3.70195	0	3.08856	0	3.69734	0
ERR719223	3.70871	0	4.44649	0	6.51897	0
ERR480885	3.70871	0	3.37343	2	2.68927	0
SRR2912787	3.71096	0	3.98893	0	3.40678	0
